Year,State,City,Reason,Original_Value,Processing_Step,Timestamp
2012,MINNESOTA,Albany,Missing City or Violent Crime data,2601.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Aurora,Missing City or Violent Crime data,1693.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Avon,Missing City or Violent Crime data,1411.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Bayport,Missing City or Violent Crime data,3518.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Belgrade,Missing City or Violent Crime data,748.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Blooming Prairie,Missing City or Violent Crime data,2007.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Brownton,Missing City or Violent Crime data,762.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Deephaven-Woodland,Missing City or Violent Crime data,4163.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Gilbert,Missing City or Violent Crime data,1810.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Hallock,Missing City or Violent Crime data,979.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Hoyt Lakes,Missing City or Violent Crime data,2031.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Janesville,Missing City or Violent Crime data,2286.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,La Crescent,Missing City or Violent Crime data,4864.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Medina,Missing City or Violent Crime data,4995.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Milaca,Missing City or Violent Crime data,2953.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Mountain Iron,Missing City or Violent Crime data,2887.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Mountain Lake,Missing City or Violent Crime data,2117.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,New Richland,Missing City or Violent Crime data,1220.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,North Oaks,Missing City or Violent Crime data,4552.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Ortonville,Missing City or Violent Crime data,1917.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Osseo,Missing City or Violent Crime data,2479.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Plainview,Missing City or Violent Crime data,3350.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Slayton,Missing City or Violent Crime data,2145.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Sleepy Eye,Missing City or Violent Crime data,3600.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Springfield,Missing City or Violent Crime data,2152.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Spring Grove,Missing City or Violent Crime data,1330.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,St. Charles,Missing City or Violent Crime data,3752.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Tracy,Missing City or Violent Crime data,2180.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Two Harbors,Missing City or Violent Crime data,3754.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Wells,Missing City or Violent Crime data,2351.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,West Hennepin,Missing City or Violent Crime data,5380.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Wheaton,Missing City or Violent Crime data,1419.0,Missing Data Filter,2025-06-17 15:21:48
2012,MINNESOTA,Winnebago,Missing City or Violent Crime data,1442.0,Missing Data Filter,2025-06-17 15:21:48
2012,1 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year,UNKNOWN,Missing City or Violent Crime data,nan,Missing Data Filter,2025-06-17 15:21:48
2012,"2 The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department",UNKNOWN,Missing City or Violent Crime data,nan,Missing Data Filter,2025-06-17 15:21:48
2012,"3 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data",UNKNOWN,Missing City or Violent Crime data,nan,Missing Data Filter,2025-06-17 15:21:48
2012,"4 The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table.",UNKNOWN,Missing City or Violent Crime data,nan,Missing Data Filter,2025-06-17 15:21:48
2012,"5 The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table",UNKNOWN,Missing City or Violent Crime data,nan,Missing Data Filter,2025-06-17 15:21:48
